"trend","number","account","priority","sys_created_on","resolved_at","TTR_seconds","TTR","SLA_Business_Time_seconds","SLA_Business_Time","SLA_Duration_seconds","SLA_Duration","short_description"
"DAD / HL7 / interface messaging","CS1624113","Swansea Bay University Health Board","3 - Medium","28/07/2025 11:52:10","28/07/2025 12:38:38","2788","0 days, 0 hrs, 46 mins","2788.0","46 mins","2788.0","46 mins","DAD outbound messages queued"
"Audit / IG / access investigation","CS1624173","University Hospital Southampton NHS Foundation Trust","3 - Medium","28/07/2025 12:25:42","31/07/2025 16:49:01","274999","3 days, 4 hrs, 23 mins","14648.0","4 hrs, 4 mins","14648.0","4 hrs, 4 mins","SLOW INTERFACE ISSUE"
"Audit / IG / access investigation","CS1624455","Tallaght University Hospital","4 - Low","28/07/2025 16:29:24","29/07/2025 17:10:04","88840","1 days, 0 hrs, 40 mins","28625.0","7 hrs, 57 mins","86829.0","1 days, 7 mins","Users are unable to add pead patients data through the dashboard"
"Audit / IG / access investigation","CS1625056","Mid Yorkshire Teaching NHS Trust","3 - Medium","29/07/2025 14:41:28","30/07/2025 14:05:40","84252","0 days, 23 hrs, 24 mins","8312.0","2 hrs, 18 mins","10351.0","2 hrs, 52 mins","FW: Subject Access Request  ZK"
"Audit / IG / access investigation","CS1625249","Leeds Teaching Hospitals NHS Trust","4 - Low","30/07/2025 07:58:09","08/12/2025 02:19:28","11298079","130 days, 18 hrs, 21 mins","4070147.0","47 days, 2 hrs, 35 mins","8135079.0","94 days, 3 hrs, 44 mins","lack or responsiveness of the System"
"Audit / IG / access investigation","CS1625386","North West Anglia NHS Foundation Trust","3 - Medium","30/07/2025 10:03:30","31/07/2025 10:08:14","86684","1 days, 0 hrs, 4 mins","17006.0","4 hrs, 43 mins","74606.0","20 hrs, 43 mins","Server performance and failing jobs"
"Audit / IG / access investigation","CS1625481","Isle Of Wight NHS Trust","4 - Low","30/07/2025 11:03:50","",,"","","","","","Corrupt DEP's"
"Audit / IG / access investigation","CS1625575","Mid Yorkshire Teaching NHS Trust","3 - Medium","30/07/2025 12:09:24","31/07/2025 17:58:37","107353","1 days, 5 hrs, 49 mins","12595.0","3 hrs, 29 mins","13423.0","3 hrs, 43 mins","FW: Unable to log onto training environment of Symphony"
"DAD / HL7 / interface messaging","CS1625661","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","30/07/2025 13:08:52","31/07/2025 16:58:01","100149","1 days, 3 hrs, 49 mins","13160.0","3 hrs, 39 mins","13160.0","3 hrs, 39 mins","Hl7 message suspended ipm to Symphony"
"Audit / IG / access investigation","CS1625909","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","4 - Low","30/07/2025 16:54:17","31/07/2025 13:35:23","74466","0 days, 20 hrs, 41 mins","16866.0","4 hrs, 41 mins","74466.0","20 hrs, 41 mins","Audit when alert was added and by who"
"Audit / IG / access investigation","CS1625980","Leeds Teaching Hospitals NHS Trust","3 - Medium","31/07/2025 08:40:38","13/08/2025 13:59:36","1142338","13 days, 5 hrs, 18 mins","141246.0","1 days, 15 hrs, 14 mins","186698.0","2 days, 3 hrs, 51 mins","ECDS Failed"
"Audit / IG / access investigation","CS1626109","Northern Lincolnshire And Goole NHS Foundation Trust","3 - Medium","31/07/2025 10:14:13","07/08/2025 16:44:50","628237","7 days, 6 hrs, 30 mins","17691.0","4 hrs, 54 mins","17691.0","4 hrs, 54 mins","CPIS/SCR query"
"DAD / HL7 / interface messaging","CS1626621","Swansea Bay University Health Board","4 - Low","31/07/2025 16:51:59","04/08/2025 11:12:43","325244","3 days, 18 hrs, 20 mins","177.0","2 mins","177.0","2 mins","Should we merge a patient or transfer the episode to a new one?"
"Audit / IG / access investigation","CS1626936","Aneurin Bevan University Healthboard","3 - Medium","01/08/2025 12:07:20","01/08/2025 13:42:23","5703","0 days, 1 hrs, 35 mins","4412.0","1 hrs, 13 mins","4412.0","1 hrs, 13 mins","Existing account inaccessible"
"Audit / IG / access investigation","CS1626939","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","01/08/2025 12:09:57","01/08/2025 15:44:27","12870","0 days, 3 hrs, 34 mins","5171.0","1 hrs, 26 mins","5171.0","1 hrs, 26 mins","Replication Not Running? "
"Audit / IG / access investigation","CS1627665","North West Anglia NHS Foundation Trust","4 - Low","04/08/2025 12:25:43","05/08/2025 10:48:00","80537","0 days, 22 hrs, 22 mins","18856.0","5 hrs, 14 mins","76239.0","21 hrs, 10 mins","Audit 25-14 Request"
"Audit / IG / access investigation","CS1627877","Bedford Hospital NHS Trust","4 - Low","04/08/2025 15:28:50","20/08/2025 14:54:20","1380330","15 days, 23 hrs, 25 mins","196632.0","2 days, 6 hrs, 37 mins","715032.0","8 days, 6 hrs, 37 mins","Audit request"
"DAD / HL7 / interface messaging","CS1628394","South Tees Hospitals NHS Foundation Trust","3 - Medium","05/08/2025 12:37:42","05/08/2025 13:30:47","3185","0 days, 0 hrs, 53 mins","3185.0","53 mins","3185.0","53 mins","Locked record on EIE"
"DAD / HL7 / interface messaging","CS1628460","Mid Yorkshire Teaching NHS Trust","4 - Low","05/08/2025 13:24:50","05/08/2025 14:26:31","3701","0 days, 1 hrs, 1 mins","2523.0","42 mins","2523.0","42 mins","One of the patients 7636184 N.J is been deceased on Symphony."
"DAD / HL7 / interface messaging","CS1629223","Health Service Executive","4 - Low","06/08/2025 13:29:54","07/08/2025 12:16:40","82006","0 days, 22 hrs, 46 mins","14519.0","4 hrs, 1 mins","72119.0","20 hrs, 1 mins","Interface issues unable to scan to Midas"
"Audit / IG / access investigation","CS1629389","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","4 - Low","06/08/2025 15:51:37","08/08/2025 11:28:23","157006","1 days, 19 hrs, 36 mins","41805.0","11 hrs, 36 mins","102793.0","1 days, 4 hrs, 33 mins","Test DEP Config - Duplicate field in front end"
"Audit / IG / access investigation","CS1629631","Mid Yorkshire Teaching NHS Trust","4 - Low","07/08/2025 10:01:43","13/08/2025 16:13:13","540690","6 days, 6 hrs, 11 mins","135022.0","1 days, 13 hrs, 30 mins","538222.0","6 days, 5 hrs, 30 mins","Symphony batch reporting "
"Audit / IG / access investigation","CS1630452","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","08/08/2025 11:30:24","08/08/2025 15:02:46","12742","0 days, 3 hrs, 32 mins","12379.0","3 hrs, 26 mins","12379.0","3 hrs, 26 mins","Access Audit"
"DAD / HL7 / interface messaging","CS1630486","Betsi Cadwaladr University Healthboard","3 - Medium","08/08/2025 11:53:47","28/08/2025 10:25:55","1722728","19 days, 22 hrs, 32 mins","89007.0","1 days, 43 mins","438138.0","5 days, 1 hrs, 42 mins","Patient_Details_ExtraFields"
"Performance / outage / errors","CS1630610","South Tees Hospitals NHS Foundation Trust","2 - High","08/08/2025 13:45:44","08/08/2025 16:52:49","11225","0 days, 3 hrs, 7 mins","11224.0","3 hrs, 7 mins","11224.0","3 hrs, 7 mins","EIE down locked record"
"Performance / outage / errors","CS1630621","South Tees Hospitals NHS Foundation Trust","3 - Medium","08/08/2025 13:55:24","08/08/2025 14:26:09","1845","0 days, 0 hrs, 30 mins","1845.0","30 mins","1845.0","30 mins","Record stuck in EIE"
"DAD / HL7 / interface messaging","CS1630868","Luton And Dunstable Hospital NHS Foundation Trust","3 - Medium","09/08/2025 11:18:44","19/08/2025 11:14:29","863745","9 days, 23 hrs, 55 mins","48969.0","13 hrs, 36 mins","92169.0","1 days, 1 hrs, 36 mins","Messages not passing between ICE Interop and Symphony"
"Audit / IG / access investigation","CS1630982","Brighton And Sussex University Hospitals NHS Trust","3 - Medium","11/08/2025 09:29:21","13/08/2025 15:04:05","192884","2 days, 5 hrs, 34 mins","41120.0","11 hrs, 25 mins","98720.0","1 days, 3 hrs, 25 mins","Field disappeared"
"DAD / HL7 / interface messaging","CS1631037","University Hospital Southampton NHS Foundation Trust","3 - Medium","11/08/2025 09:58:24","11/08/2025 14:11:06","15162","0 days, 4 hrs, 12 mins","15162.0","4 hrs, 12 mins","15162.0","4 hrs, 12 mins","Stuck Messages in DAD Outbound Queue"
"DAD / HL7 / interface messaging","CS1631264","Hospice Peterborough And Stamford Hospitals NHS Foundation Trust","2 - High","11/08/2025 12:03:41","11/08/2025 18:15:47","22326","0 days, 6 hrs, 12 mins","","","","","SCR / CPIS"
"DAD / HL7 / interface messaging","CS1631603","North West Anglia NHS Foundation Trust","3 - Medium","11/08/2025 18:12:06","11/08/2025 18:17:23","317","0 days, 0 hrs, 5 mins","0.0","","317.0","5 mins","Attendance SCR/CPIS check isnt working"
"Audit / IG / access investigation","CS1632045","Aneurin Bevan University Healthboard","4 - Low","12/08/2025 12:25:14","19/08/2025 13:08:56","607422","7 days, 0 hrs, 43 mins","100712.0","1 days, 3 hrs, 58 mins","446312.0","5 days, 3 hrs, 58 mins","Patient booked in but delay in showing up on Symphony"
"Audit / IG / access investigation","CS1632072","Tallaght University Hospital","4 - Low","12/08/2025 12:45:11","04/09/2025 14:22:14","1993023","23 days, 1 hrs, 37 mins","100410.0","1 days, 3 hrs, 53 mins","163842.0","1 days, 21 hrs, 30 mins","ED Episode did not go to iPMS (PAS)"
"Audit / IG / access investigation","CS1632672","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","13/08/2025 10:49:38","29/08/2025 11:34:40","1385102","16 days, 0 hrs, 45 mins","271788.0","3 days, 3 hrs, 29 mins","530988.0","6 days, 3 hrs, 29 mins","Patient Update Message Rejected"
"DAD / HL7 / interface messaging","CS1633263","Wye Valley NHS Trust","2 - High","14/08/2025 08:21:36","14/08/2025 08:38:14","998","0 days, 0 hrs, 16 mins","998.0","16 mins","998.0","16 mins","DAD"
"DAD / HL7 / interface messaging","CS1633351","University Hospital Southampton NHS Foundation Trust","3 - Medium","14/08/2025 09:37:40","14/08/2025 14:28:27","17447","0 days, 4 hrs, 50 mins","17447.0","4 hrs, 50 mins","17447.0","4 hrs, 50 mins","Symphony - edocs items stuck in the outbound DAD queue"
"DAD / HL7 / interface messaging","CS1633462","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","14/08/2025 10:45:48","14/08/2025 16:43:00","21432","0 days, 5 hrs, 57 mins","15811.0","4 hrs, 23 mins","15811.0","4 hrs, 23 mins","Wrong attendance removed"
"Audit / IG / access investigation","CS1633634","Northern Lincolnshire And Goole NHS Foundation Trust","3 - Medium","14/08/2025 12:41:16","",,"","","","","","Symphony error on adding specialty "
"DAD / HL7 / interface messaging","CS1633713","Health Service Executive","3 - Medium","14/08/2025 13:40:24","14/08/2025 16:41:47","10883","0 days, 3 hrs, 1 mins","10883.0","3 hrs, 1 mins","10883.0","3 hrs, 1 mins","Patient showing RIP"
"DAD / HL7 / interface messaging","CS1633770","Tallaght University Hospital","4 - Low","14/08/2025 14:34:00","21/08/2025 14:08:43","603283","6 days, 23 hrs, 34 mins","90162.0","1 days, 1 hrs, 2 mins","435762.0","5 days, 1 hrs, 2 mins","ED Discharge Failed to send to HL"
"Audit / IG / access investigation","CS1633902","Health Service Executive","4 - Low","14/08/2025 16:04:12","15/08/2025 16:57:32","89600","1 days, 0 hrs, 53 mins","20030.0","5 hrs, 33 mins","77630.0","21 hrs, 33 mins","Why are patients being marked as RIP?"
"Audit / IG / access investigation","CS1634082","North West Anglia NHS Foundation Trust","3 - Medium","15/08/2025 09:28:36","12/09/2025 16:04:13","2442937","28 days, 6 hrs, 35 mins","53431.0","14 hrs, 50 mins","57177.0","15 hrs, 52 mins","DAD lock - near constant - can you see what/why?"
"Audit / IG / access investigation","CS1634255","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","15/08/2025 11:19:00","15/08/2025 14:59:02","13202","0 days, 3 hrs, 40 mins","13202.0","3 hrs, 40 mins","13202.0","3 hrs, 40 mins","User Unable to Log In to Symphony "
"DAD / HL7 / interface messaging","CS1634817","University Hospital Southampton NHS Foundation Trust","3 - Medium","18/08/2025 09:27:40","18/08/2025 11:29:41","7321","0 days, 2 hrs, 2 mins","7321.0","2 hrs, 2 mins","7321.0","2 hrs, 2 mins","Stuck Messages in DAB Outbound Queue"
"Audit / IG / access investigation","CS1634971","Northern Care Alliance NHS Foundation Trust","3 - Medium","18/08/2025 11:01:28","02/09/2025 02:29:28","1265280","14 days, 15 hrs, 28 mins","47187.0","13 hrs, 6 mins","90387.0","1 days, 1 hrs, 6 mins","RE: Stuck message in Symphony DAD queue"
"Audit / IG / access investigation","CS1635313","Swansea Bay University Health Board","3 - Medium","18/08/2025 15:02:42","21/08/2025 15:38:34","261352","3 days, 0 hrs, 35 mins","55123.0","15 hrs, 18 mins","166723.0","1 days, 22 hrs, 18 mins","User unable to log in"
"Audit / IG / access investigation","CS1635414","North West Anglia NHS Foundation Trust","3 - Medium","18/08/2025 16:48:16","23/09/2025 13:26:25","3098289","35 days, 20 hrs, 38 mins","594001.0","6 days, 21 hrs","2494801.0","28 days, 21 hrs","CS1437675  - discharge HL7 contains 1/1/2200"
"Performance / outage / errors","CS1635833","Torbay and South Devon NHS Foundation Trust","3 - Medium","19/08/2025 12:23:41","28/08/2025 11:39:22","774941","8 days, 23 hrs, 15 mins","20204.0","5 hrs, 36 mins","76704.0","21 hrs, 18 mins","GP letters failed to compile "
"DAD / HL7 / interface messaging","CS1636643","Northern Care Alliance NHS Foundation Trust","3 - Medium","20/08/2025 13:27:14","20/08/2025 13:28:27","73","0 days, 0 hrs, 1 mins","73.0","1 mins","73.0","1 mins","DAD event monitor "
"Audit / IG / access investigation","CS1637394","Swansea Bay University Health Board","3 - Medium","21/08/2025 13:56:50","21/08/2025 16:57:31","10841","0 days, 3 hrs, 0 mins","9486.0","2 hrs, 38 mins","9486.0","2 hrs, 38 mins","Clinic slot locked, unable to add patient"
"DAD / HL7 / interface messaging","CS1637450","Children's Health Ireland","4 - Low","21/08/2025 14:34:25","22/08/2025 10:04:25","70200","0 days, 19 hrs, 30 mins","8088.0","2 hrs, 14 mins","65688.0","18 hrs, 14 mins","I am trying to update a printmask in Symphony but am unable to locate the CHI pa"
"Audit / IG / access investigation","CS1637673","University Hospital Southampton NHS Foundation Trust","3 - Medium","22/08/2025 09:19:19","22/08/2025 10:19:55","3636","0 days, 1 hrs, 0 mins","3636.0","1 hrs","3636.0","1 hrs","DAD Outbound Queue - SGH ED TimeLine and A04"
"DAD / HL7 / interface messaging","CS1637706","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","22/08/2025 09:40:06","27/08/2025 10:04:15","433449","5 days, 0 hrs, 24 mins","7591.0","2 hrs, 6 mins","7591.0","2 hrs, 6 mins","PDS giving an error"
"Audit / IG / access investigation","CS1638069","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","22/08/2025 15:25:01","01/09/2025 16:24:36","867575","10 days, 0 hrs, 59 mins","219714.0","2 days, 13 hrs, 1 mins","522114.0","6 days, 1 hrs, 1 mins","Symphony > Overseas Status is Blank from iPM v8 > Luton TEST"
"Audit / IG / access investigation","CS1638245","Health Service Executive","4 - Low","25/08/2025 12:44:07","29/08/2025 11:33:15","341348","3 days, 22 hrs, 49 mins","103871.0","1 days, 4 hrs, 51 mins","334271.0","3 days, 20 hrs, 51 mins","Batch print-to-file GP letters for emailing"
"DAD / HL7 / interface messaging","CS1638278","Gibraltar Health Authority (GHA)","1 - Critical","26/08/2025 08:08:51","26/08/2025 12:59:38","17447","0 days, 4 hrs, 50 mins","5689.0","1 hrs, 34 mins","5689.0","1 hrs, 34 mins","Patient Add and Updates not coming through from CAMIS"
"DAD / HL7 / interface messaging","CS1639141","Kent Community Health NHS Foundation Trust","4 - Low","27/08/2025 10:14:45","29/08/2025 09:10:10","168925","1 days, 22 hrs, 55 mins","57614.0","16 hrs","100814.0","1 days, 4 hrs","delete an episode"
"DAD / HL7 / interface messaging","CS1639986","Health Service Executive","4 - Low","28/08/2025 11:32:41","01/09/2025 15:50:49","361088","4 days, 4 hrs, 18 mins","46751.0","12 hrs, 59 mins","104351.0","1 days, 4 hrs, 59 mins","Billing Invoice missing"
"DAD / HL7 / interface messaging","CS1640357","Health Service Executive","2 - High","29/08/2025 02:47:04","29/08/2025 11:52:50","32746","0 days, 9 hrs, 5 mins","17990.0","4 hrs, 59 mins","17990.0","4 hrs, 59 mins","Patients not coming in from IPMS"
"DAD / HL7 / interface messaging","CS1640366","Mid Yorkshire Teaching NHS Trust","2 - High","29/08/2025 08:28:09","29/08/2025 11:20:35","10346","0 days, 2 hrs, 52 mins","2240.0","37 mins","4151.0","1 hrs, 9 mins","Restart DAD for Symphony messaging"
"DAD / HL7 / interface messaging","CS1642757","Swansea Bay University Health Board","2 - High","02/09/2025 11:33:19","02/09/2025 13:15:49","6150","0 days, 1 hrs, 42 mins","1189.0","19 mins","1189.0","19 mins","DAD outbound messages queuing"
"DAD / HL7 / interface messaging","CS1643400","North West Anglia NHS Foundation Trust","3 - Medium","03/09/2025 10:21:16","04/09/2025 08:19:03","79067","0 days, 21 hrs, 57 mins","5240.0","1 hrs, 27 mins","59732.0","16 hrs, 35 mins","SCR/CPIS attendance (possible performance)"
"Audit / IG / access investigation","CS1643932","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","03/09/2025 16:30:56","04/09/2025 09:50:47","62391","0 days, 17 hrs, 19 mins","19190.0","5 hrs, 19 mins","62390.0","17 hrs, 19 mins","Error Message when loading DEP Config"
"DAD / HL7 / interface messaging","CS1644097","University Hospital Southampton NHS Foundation Trust","3 - Medium","04/09/2025 09:39:29","04/09/2025 11:36:42","7033","0 days, 1 hrs, 57 mins","7032.0","1 hrs, 57 mins","7032.0","1 hrs, 57 mins","Outbound Failure DAD Messague Queue"
"DAD / HL7 / interface messaging","CS1644520","Swansea Bay University Health Board","3 - Medium","04/09/2025 14:24:25","04/09/2025 16:08:07","6222","0 days, 1 hrs, 43 mins","3484.0","58 mins","3484.0","58 mins","DAD outbound messages queued"
"DAD / HL7 / interface messaging","CS1644865","Children's Health Ireland","3 - Medium","05/09/2025 09:50:20","16/09/2025 13:40:11","964191","11 days, 3 hrs, 49 mins","34348.0","9 hrs, 32 mins","95486.0","1 days, 2 hrs, 31 mins","Issues with DAD"
"Audit / IG / access investigation","CS1645990","Northern Lincolnshire And Goole NHS Foundation Trust","3 - Medium","08/09/2025 12:53:26","10/09/2025 10:50:09","165403","1 days, 21 hrs, 56 mins","52346.0","14 hrs, 32 mins","95546.0","1 days, 2 hrs, 32 mins","Tracking screen not updating at different machines"
"DAD / HL7 / interface messaging","CS1646102","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","08/09/2025 14:11:02","10/09/2025 10:00:33","157771","1 days, 19 hrs, 49 mins","71371.0","19 hrs, 49 mins","157771.0","1 days, 19 hrs, 49 mins","A31 messages that fail "
"DAD / HL7 / interface messaging","CS1646405","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","2 - High","09/09/2025 08:22:55","09/09/2025 09:05:39","2564","0 days, 0 hrs, 42 mins","2564.0","42 mins","2564.0","42 mins","DAD restart"
"DAD / HL7 / interface messaging","CS1646731","Swansea Bay University Health Board","3 - Medium","09/09/2025 11:35:30","11/09/2025 13:05:01","178171","2 days, 1 hrs, 29 mins","33249.0","9 hrs, 14 mins","33249.0","9 hrs, 14 mins","DAD outbound messages queued"
"Audit / IG / access investigation","CS1647425","University Hospital Southampton NHS Foundation Trust","3 - Medium","10/09/2025 10:24:33","10/09/2025 13:30:04","11131","0 days, 3 hrs, 5 mins","9497.0","2 hrs, 38 mins","9497.0","2 hrs, 38 mins","Reinstate consultant's erroneously end dated account"
"DAD / HL7 / interface messaging","CS1647685","Western Sussex Hospitals NHS Trust","4 - Low","10/09/2025 13:07:28","12/09/2025 10:18:33","162665","1 days, 21 hrs, 11 mins","27482.0","7 hrs, 38 mins","85082.0","23 hrs, 38 mins","Number of connections to  a Symphony Port for HL7 Messages"
"DAD / HL7 / interface messaging","CS1648011","Wye Valley NHS Trust","3 - Medium","11/09/2025 06:52:43","11/09/2025 10:12:06","11963","0 days, 3 hrs, 19 mins","2550.0","42 mins","7541.0","2 hrs, 5 mins","A&E Comm Point Down"
"DAD / HL7 / interface messaging","CS1648114","University Hospital Southampton NHS Foundation Trust","3 - Medium","11/09/2025 09:28:12","12/09/2025 11:51:00","94968","1 days, 2 hrs, 22 mins","37368.0","10 hrs, 22 mins","94968.0","1 days, 2 hrs, 22 mins","Symphony DAD message  queue Outbound  failure"
"DAD / HL7 / interface messaging","CS1648858","Wye Valley NHS Trust","2 - High","12/09/2025 09:03:27","12/09/2025 13:32:24","16137","0 days, 4 hrs, 28 mins","1219.0","20 mins","1219.0","20 mins","DAD Restart"
"Audit / IG / access investigation","CS1648887","Betsi Cadwaladr University Healthboard","3 - Medium","12/09/2025 09:17:38","17/09/2025 13:05:55","445697","5 days, 3 hrs, 48 mins","30181.0","8 hrs, 23 mins","30181.0","8 hrs, 23 mins","system lag/slow 01:00- 02:00"
"Audit / IG / access investigation","CS1648961","North West Anglia NHS Foundation Trust","4 - Low","12/09/2025 09:53:58","12/09/2025 15:53:02","21544","0 days, 5 hrs, 59 mins","21544.0","5 hrs, 59 mins","21544.0","5 hrs, 59 mins","Audit 25-18 Request"
"Audit / IG / access investigation","CS1649123","Isle Of Wight NHS Trust","4 - Low","12/09/2025 11:23:24","15/09/2025 12:10:21","262017","3 days, 0 hrs, 46 mins","31617.0","8 hrs, 46 mins","262017.0","3 days, 46 mins","Audit of who created 2 records"
"Audit / IG / access investigation","CS1649186","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","12/09/2025 12:10:03","15/09/2025 15:41:24","271881","3 days, 3 hrs, 31 mins","128541.0","1 days, 11 hrs, 42 mins","258141.0","2 days, 23 hrs, 42 mins","Audit Report of Staff Activity"
"DAD / HL7 / interface messaging","CS1649239","Isle Of Wight NHS Trust","3 - Medium","12/09/2025 12:50:50","10/10/2025 16:17:15","2431585","28 days, 3 hrs, 26 mins","521698.0","6 days, 54 mins","2249698.0","26 days, 54 mins","Error Message"
"DAD / HL7 / interface messaging","CS1649595","University Hospital Southampton NHS Foundation Trust","3 - Medium","15/09/2025 09:18:09","16/09/2025 14:41:08","105779","1 days, 5 hrs, 22 mins","18220.0","5 hrs, 3 mins","18220.0","5 hrs, 3 mins","Stuck Messages in DAB Outbound Queue. "
"Audit / IG / access investigation","CS1649986","Gibraltar Health Authority (GHA)","4 - Low","15/09/2025 12:29:04","23/09/2025 11:52:55","689031","7 days, 23 hrs, 23 mins","148562.0","1 days, 17 hrs, 16 mins","557787.0","6 days, 10 hrs, 56 mins","Audit reports only retrieving results up to 2022 "
"DAD / HL7 / interface messaging","CS1650129","Bedford Hospital NHS Trust","4 - Low","15/09/2025 14:06:48","01/10/2025 02:54:28","1342060","15 days, 12 hrs, 47 mins","43848.0","12 hrs, 10 mins","159048.0","1 days, 20 hrs, 10 mins","Symphony Test Interop not working to Bedford Test ICE"
"Audit / IG / access investigation","CS1650156","Northern Care Alliance NHS Foundation Trust","3 - Medium","15/09/2025 14:25:52","19/09/2025 15:32:17","349585","4 days, 1 hrs, 6 mins","160398.0","1 days, 20 hrs, 33 mins","333198.0","3 days, 20 hrs, 33 mins","ECDS File on 09/09/2025 not loaded"
"Audit / IG / access investigation","CS1650585","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","16/09/2025 10:22:26","16/09/2025 14:14:27","13921","0 days, 3 hrs, 52 mins","7543.0","2 hrs, 5 mins","7543.0","2 hrs, 5 mins","Audit of Patient record"
"Audit / IG / access investigation","CS1650989","Betsi Cadwaladr University Healthboard","3 - Medium","16/09/2025 14:52:29","16/09/2025 16:14:52","4943","0 days, 1 hrs, 22 mins","2950.0","49 mins","2950.0","49 mins","BCUHB symphony stalled, 10:10h fail over, now SSRS summary reports incomplete"
"DAD / HL7 / interface messaging","CS1651867","South Tees Hospitals NHS Foundation Trust","2 - High","17/09/2025 15:24:56","17/09/2025 15:27:35","159","0 days, 0 hrs, 2 mins","159.0","2 mins","159.0","2 mins","CTM Alert"
"DAD / HL7 / interface messaging","CS1651982","North Cumbria Integrated Care NHS Foundation Trust","4 - Low","17/09/2025 17:06:02","22/09/2025 16:57:34","431492","4 days, 23 hrs, 51 mins","201662.0","2 days, 8 hrs, 1 mins","374462.0","4 days, 8 hrs, 1 mins","Remove name from record"
"DAD / HL7 / interface messaging","CS1652757","North Cumbria Integrated Care NHS Foundation Trust","4 - Low","19/09/2025 08:30:10","22/09/2025 16:59:22","289752","3 days, 8 hrs, 29 mins","159894.0","1 days, 20 hrs, 24 mins","289494.0","3 days, 8 hrs, 24 mins","Patient Alias"
