Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1626009,Stock take,Access & Security,Audit & Compliance,High,"Case involves Information Governance, controlled drug audit, or record viewing history.",No
CS1626027,[The job failed.] SQL Server Job System: 'ASC_BI_Pharmacy_Overnight_Job',Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1626095,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1626331,EPMA running exceptionally slowly,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1626475,Cannot proceed in DSS drug definition request,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1626547,Oxycodone stock level issue,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1626617,windows 11 roll out,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1626728,Genfin,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1626915,Fw: Case CS1624536 solution proposed - Reminder,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1626980,HL7 messages to ePMA Test,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1626991,Amend supplier details,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1626996,Performance Issues on Pharmacy Ascribe System between 5pm and 7pm,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627092,Data not refreshing,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627105,GL Genfin Report,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627240,The PAS interface has stopped and messages are queuing,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627329,TIE/EIE interface,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627344,LIVE 10.21 - Issue with External Printing - PDF,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1627383,Patient Labels,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1627409,Question: Tasks,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or record lock issues.",No
CS1627424,Pharmacy Finance issues,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1627591,Prescriptions Not Showing on Dispensary Desktop,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1627642,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1627683,ePMA Training server unable to run drug run - Causing critical errors,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1627723,Order Reprints Error,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1627908,Medication locked by user,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1628196,New Assets,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1628226,Interface connection down,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1628439,Stock take,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1628615,MSSQL temp drive full,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1628736,Order Set only saving as transcription,Access & Security,User Access,High,"Case requests user access enablement, role assignment, pharmacist access, or permissions.",No
CS1628807,Restart PAS interface,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1628931,Outstanding batch numbers.,Configuration & Administration,Master Data,High,"Case involves drug formulary master data, ward lookups, or drug catalogue setup.",No
CS1629071,Email-inboundMessage Queue has exceeded,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1629087,Lock drug (Lantus) for a patient in Laurel ward.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1629094,Two invoices showing in month '202601',Access & Security,Audit & Compliance,High,"Case involves Information Governance, controlled drug audit, or record viewing history.",No
CS1629105,Missing snapshot dates from Stock Valuation Report and Summary,Reporting & Analytics,Reporting,High,"Case involves pharmacy SSRS reports, stock reporting, or data extraction.",No
CS1629231,New Hospital Numbers,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1629341,Unable to Edit supplier,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1629348,System.Int32 error,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1629363,EMIS Certificate,Service Requests,New Request,Medium,"Case represents a service request for creation, drug setup, or system updates.",No
CS1629380,System concurrent users - log in times etc,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1629416,Pharmacy system slow,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or record lock issues.",No
CS1629431,PSO to be deleted,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1629594,invoices stuck in exception,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1629762,Invoice reconciled not uploaded to GENFIN,Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1629771,stuck In exception.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1629776,Report not running on a Wednesday again,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1629798,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1629850,Changing Passwords for AscribeSupport and AscribeService accounts,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1629893,Ward location not printing delivery notes,Configuration & Administration,Master Data,High,"Case involves drug formulary master data, ward lookups, or drug catalogue setup.",No
CS1629969,Remove / cancel discharge from the discharge list without discharging patient.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1629990,Cursor issue leading to issues and errors.,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1629997,Release notes for 10.23,User Guidance & Training,Knowledge Articles,High,Release notes documentation request.,No
CS1630033,Win 11 Compatibility,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1630067,Log file viewer  / PMR issue.,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630106,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630192,Processing invoices,Reporting & Analytics,Reporting,High,"Case involves pharmacy SSRS reports, stock reporting, or data extraction.",No
CS1630201,HRI Stores Pharmacy supplier editor (680),Service Requests,New Request,Medium,"Case represents a service request for creation, drug setup, or system updates.",No
CS1630303,[The job failed.] SQL Server Job System: 'ePMA Reporting 10.22',Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1630420,Remove the oral route from injectable prescription types,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (dm+d/TRUD/FMD) or third-party supplier systems.,No
CS1630438,"EPMA connection and network issues, Error: Cannot reach this Page.",Defects & Errors,Application Defect,Medium,"Case reports application defect, unexpected behaviour, or functional error.",No
CS1630462,Patients not appearing on Ascribe,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630510,"I have forgeten my security word, please reset",Access & Security,Authentication,High,Security word or authentication credential reset request.,No
CS1630631,System outage STAS522,Performance & Availability,Availability,High,"Case reports application outage, pharmacy system down, or service unavailability.",No
CS1630694,DSS on the web is not working,Access & Security,Authentication,High,"Case relates to user authentication, password/PIN reset, SSO, or account lockout.",No
CS1630717,error,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630737,EIE interface to CAMIS,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630744,EMIS is running very slow,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or record lock issues.",No
CS1630831,MS SQL Server Management Studio on EMIS Pharmacy servers at CNWL,Integration & Interfaces,Integration Failure,High,"Case relates to dispensing robot interface, HL7 messaging, or automated pharmacy feed failures.",No
CS1630846,drug chart not printing,Configuration & Administration,Configuration Change,High,"Case involves dispensing label printing, printer configuration, forms, or templates.",No
